,Timestamp,Machine,Temperature,Pressure,PartLength,PartResistance
1,2022-03-08 00:00:00,1,303,100,51.69775412,4.773738527
2,2022-03-08 00:00:05,1,303,100,51.34536949,5.236588102
3,2022-03-08 00:00:10,1,303,100,51.214576,5.086846034
4,2022-03-08 00:00:15,1,303,100,52.65144336,4.928024146
5,2022-03-08 00:00:20,1,303,100,50.22091582,5.950636725
6,2022-03-08 00:00:25,1,303,100,50.83559878,5.017962025
7,2022-03-08 00:00:30,1,303,100,47.37112927,5.031074491
8,2022-03-08 00:00:35,1,303,100,50.51776247,5.630957475
9,2022-03-08 00:00:40,1,303,100,49.1976377,5.192058348
10,2022-03-08 00:00:45,1,303,100,50.21713236,5.395830651
11,2022-03-08 00:00:50,1,303,100,50.56085453,5.732609456
12,2022-03-08 00:00:55,1,303,100,50.04163896,5.082978948
13,2022-03-08 00:01:00,1,303,100,48.72423307,5.562797837
14,2022-03-08 00:01:05,1,303,100,50.332671,5.397048788
15,2022-03-08 00:01:10,1,303,100,50.98940681,5.65376354
16,2022-03-08 00:01:15,1,303,100,51.31117828,5.394721068
17,2022-03-08 00:01:20,1,303,100,51.62551019,5.158283614
18,2022-03-08 00:01:25,1,303,100,52.7034963,5.668780988
19,2022-03-08 00:01:30,1,303,100,50.80620908,5.320753495
20,2022-03-08 00:01:35,1,303,100,50.71936984,5.023874358
21,2022-03-08 00:01:40,1,303,100,50.49480127,5.371094677
22,2022-03-08 00:01:45,1,303,100,48.53630411,5.030083194
23,2022-03-08 00:01:50,1,303,100,49.87522277,5.847523765
24,2022-03-08 00:01:55,1,303,100,49.63138853,5.102740209
25,2022-03-08 00:02:00,1,303,100,49.41703618,5.367062793
26,2022-03-08 00:02:05,1,303,100,50.361246,5.327964542
27,2022-03-08 00:02:10,1,303,100,52.08771255,4.832265052
28,2022-03-08 00:02:15,1,303,100,50.015766,5.296960886
29,2022-03-08 00:02:20,1,303,100,47.78359072,5.369291213
30,2022-03-08 00:02:25,1,303,100,50.2747682,5.280374697
31,2022-03-08 00:02:30,1,303,100,51.75404712,5.333293272
32,2022-03-08 00:02:35,1,303,100,48.11722581,5.11036876
33,2022-03-08 00:02:40,1,303,100,49.69905655,5.168564531
34,2022-03-08 00:02:45,1,303,100,50.20828077,5.552817086
35,2022-03-08 00:02:50,1,303,100,51.1480724,4.937107845
36,2022-03-08 00:02:55,1,303,100,51.66076332,5.16940224
37,2022-03-08 00:03:00,1,303,100,50.87144896,5.473307368
